Name,Category,Phone,City,State,License Number,Why Kept
Insurance Auto Auctions,Motor Vehicle Dealer (general),,East Providence,RI,341,State-licensed dealer - Sep 13 push
International Horsepower Auto Sales,Motor Vehicle Dealer (general),,North Providence,RI,675,State-licensed dealer - Sep 13 push
"International Motor Group ""Annex""",Motor Vehicle Dealer (general),,Warwick,RI,459,State-licensed dealer - Sep 13 push
"International Motor Group ""Main""",Motor Vehicle Dealer (general),,Warwick,RI,260,State-licensed dealer - Sep 13 push
"J&D Auto Sales, Inc.",Motor Vehicle Dealer (general),,West Warwick,RI,603,State-licensed dealer - Sep 13 push
J&T Auto Sales,Motor Vehicle Dealer (general),,Warwick,RI,744,State-licensed dealer - Sep 13 push
"J.D.J. Auto Sales, LLC",Motor Vehicle Dealer (general),,Providence,RI,572,State-licensed dealer - Sep 13 push
J.F.C. Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,205,State-licensed dealer - Sep 13 push
"Jack & Son Auto Sales and Service, Inc.",Motor Vehicle Dealer (general),,Pawtucket,RI,147,State-licensed dealer - Sep 13 push
Jeff Milllette Auto Center,Motor Vehicle Dealer (general),,Pawtucket,RI,671,State-licensed dealer - Sep 13 push
Jake Kaplan’s LTD,Motor Vehicle Dealer (general),,Warwick,RI,31,State-licensed dealer - Sep 13 push
JE Auto Sales LLC,Motor Vehicle Dealer (general),,Pawtucket,RI,405,State-licensed dealer - Sep 13 push
"Jim’s Auto Sales & Auto Body Works, Inc.",Motor Vehicle Dealer (general),,Pawtucket,RI,534,State-licensed dealer - Sep 13 push
Jimmy’s Auto Sales,Motor Vehicle Dealer (general),,North Providence,RI,726,State-licensed dealer - Sep 13 push
Joe's Auto Sales & Service 1022,Motor Vehicle Dealer (general),,Cumberland,RI,241,State-licensed dealer - Sep 13 push
"Johnston Auto Sales, LLC",Motor Vehicle Dealer (general),,Johnston,RI,12,State-licensed dealer - Sep 13 push
Jorge’s Auto Sales “Annex”,Motor Vehicle Dealer (general),,Cumberland,RI,692,State-licensed dealer - Sep 13 push
Jorge’s Auto Sales “Main”,Motor Vehicle Dealer (general),,Cumberland,RI,737,State-licensed dealer - Sep 13 push
Kenworth Northeast,Motor Vehicle Dealer (general),,Smithfield,RI,454,State-licensed dealer - Sep 13 push
King Philip Motors,Motor Vehicle Dealer (general),,Bristol,RI,434,State-licensed dealer - Sep 13 push
"King Richard's Auto Center, Inc.",Motor Vehicle Dealer (general),,East Providence,RI,50,State-licensed dealer - Sep 13 push
"Kingston Auto Sales, Inc.",Motor Vehicle Dealer (general),,South Kingstown,RI,747,State-licensed dealer - Sep 13 push
Knox’s Garage,Motor Vehicle Dealer (general),,North Scituate,RI,263,State-licensed dealer - Sep 13 push
Guaranteed Auto Sales,Motor Vehicle Dealer (general),,Johnston,RI,585,State-licensed dealer - Sep 13 push
Lagos Auto Sales and Service LLC,Motor Vehicle Dealer (general),,Providence,RI,532,State-licensed dealer - Sep 13 push
Laires & Son Auto Sales & Repairs,Motor Vehicle Dealer (general),,East Providence,RI,739,State-licensed dealer - Sep 13 push
Lajara Auto Sales,Motor Vehicle Dealer (general),,Cranston,RI,171,State-licensed dealer - Sep 13 push
"Lake Auto Sales, Inc.",Motor Vehicle Dealer (general),,Providence,RI,641,State-licensed dealer - Sep 13 push
Lakewood Auto Sales,Motor Vehicle Dealer (general),,Warwick,RI,353,State-licensed dealer - Sep 13 push
Land Rover Warwick,Motor Vehicle Dealer (general),,Warwick,RI,3,State-licensed dealer - Sep 13 push
Langway Nissan of Newport,Motor Vehicle Dealer (general),,Middletown,RI,284,State-licensed dealer - Sep 13 push
Langway Toyota of Newport,Motor Vehicle Dealer (general),,Middletown,RI,167,State-licensed dealer - Sep 13 push
Las America Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,168,State-licensed dealer - Sep 13 push
Leers Auto Sales,Motor Vehicle Dealer (general),,Pawtucket,RI,503,State-licensed dealer - Sep 13 push
"Legal Motors, LTD",Motor Vehicle Dealer (general),,Warwick,RI,98,State-licensed dealer - Sep 13 push
Legacy Auto Sales & Repair,Motor Vehicle Dealer (general),,North Providence,RI,614,State-licensed dealer - Sep 13 push
"Lemus Auto Sales & Service, Inc.",Motor Vehicle Dealer (general),,Providence,RI,479,State-licensed dealer - Sep 13 push
Leo Auto Sales and Tire,Motor Vehicle Dealer (general),,Warwick,RI,305,State-licensed dealer - Sep 13 push
Lexus of Warwick,Motor Vehicle Dealer (general),,Warwick,RI,93,State-licensed dealer - Sep 13 push
Liberty Auto Sales & Repair,Motor Vehicle Dealer (general),,Pawtucket,RI,742,State-licensed dealer - Sep 13 push
"Lima’s Auto Sales, Inc.",Motor Vehicle Dealer (general),,West Warwick,RI,606,State-licensed dealer - Sep 13 push
